refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	MetaSRA_timepoint	MetaSRA_timepoint.unit	time_status
SRR2182228	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_1	NA	24	hour	One_Day_After_Defeat
SRR2182229	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_2	NA	24	hour	One_Day_After_Defeat
SRR2182230	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_DKKL1_3	NA	24	hour	One_Day_After_Defeat
SRR2182231	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_1	NA	24	hour	One_Day_After_Defeat
SRR2182232	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_2	NA	24	hour	One_Day_After_Defeat
SRR2182233	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_3	NA	24	hour	One_Day_After_Defeat
SRR2182234	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_4	NA	24	hour	One_Day_After_Defeat
SRR2182235	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult ventral hippocampus	24h post accelerated defeat	VHIP_GFP_5	NA	24	hour	One_Day_After_Defeat
SRR2182285	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_1	NA	28	NA	One_Month_After_Defeat
SRR2182286	SRP062829	NA	c57bl/6j	NA	NA	NA	NA	NA	MUS_MUSCULUS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	TRUE	381	Tximport	v1.25.8-hotfix	NA	NA	NA	SRA	brain	adult amygdala	28d post csds	AMY_Control_28d_2	NA	28	NA	One_Month_After_Defeat
