Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Igkv3-1	0.4743197616107505	-3.514032919002665	2.5237143102065382	0.10266436079049875	0.17449463806168325	FALSE
Tnfrsf1b	567.6260823878744	-3.516933736264539	0.15090139862916255	1.3329254893545045e-120	3.762182193703089e-118	TRUE
Clec4a3	69.68533465403263	-3.5191635707481947	0.22751188438742992	1.7701159647307216e-54	9.083913291731748e-53	TRUE
Arhgap30	450.89396118581163	-3.5244694386773383	0.1512662146516066	1.830220919964705e-120	5.10202325590161e-118	TRUE
Fam3b	0.532694447290079	-3.52473361392003	0.7116174366483712	1.2110513357867788e-7	7.489876516588734e-7	TRUE
Ulbp1	42.8102340444511	-3.526245409763067	0.3521818199217298	4.7868878099761894e-24	1.0483795029026416e-22	TRUE
Apol7d	4.368142590095905	-3.5307017094689757	0.5356743368222743	1.1664793430974461e-11	1.1827168193596916e-10	TRUE
Il27ra	75.45662442918172	-3.532668683032702	0.34716395690855995	9.264847146167456e-25	2.0733424039688916e-23	TRUE
Prph	90.0031766169506	-3.5349249837789123	0.43342421439809226	1.2761488419106157e-16	1.9682678176462914e-15	TRUE
Gm20556	0.5325276714348054	-3.5377383516826564	0.7656871613019299	1.6408106302430214e-6	8.47039415429525e-6	TRUE
Arl11	56.1949979519879	-3.5433960871055814	0.20474647767014825	1.2975237288356383e-67	9.184352914454142e-66	TRUE
Parp10	346.68497191320944	-3.543629095099728	0.19032818153564182	8.195474923612429e-78	7.200537890084383e-76	TRUE
Ikzf1	622.5072615735252	-3.5443172998992196	0.22028600916679722	1.1873193639787052e-58	6.719215849282998e-57	TRUE
Tap2	1428.9337045350967	-3.5500406088846073	0.2653313731940792	3.1053663075548883e-41	1.1532758425096937e-39	TRUE
Rab32	182.2283977073237	-3.5565036646496835	0.18385020948187025	7.796632813326084e-84	7.654259518474042e-82	TRUE
Cd27	62.0393886849692	-3.558218281246817	0.24458104599600244	2.3211433185039686e-48	1.0357987377829963e-46	TRUE
Dppa3	0.4864062134208453	-3.5590282978719308	1.0540254818885826	6.246663032089638e-4	0.0019746556245916844	TRUE
Apol6	33.50246592225298	-3.5677942947286096	0.270613906277766	3.041256212967775e-40	1.1040444580194913e-38	TRUE
D730005E14Rik	26.377537548739788	-3.570221829112767	0.18804507182237973	5.535563792806551e-81	5.1226651820316363e-79	TRUE
Jchain	87.83732888130476	-3.5960697505715356	0.3239942025092475	4.7506730914399535e-29	1.23868589381887e-27	TRUE
Ifitm6	8.396542903669195	-3.6001316410946282	0.29544312276535156	8.621609395268447e-35	2.6631455560213617e-33	TRUE
Lipm	4.183915298046308	-3.614382827984124	0.5508793799618813	1.4249139723397544e-11	1.4242832003289799e-10	TRUE
Sting1	469.87576197552704	-3.6187746851183995	0.24637623183676075	2.9134769269384667e-49	1.32901634364183e-47	TRUE
Trim34a	228.7980921174191	-3.623694458214244	0.17487116107994477	7.303193292738348e-96	9.934102683736863e-94	TRUE
