"Gene_Set","Chi_Squared_Statistic","P_Value","Adjusted_P_Value"
"10 genes",7.2477693891558,0.0266788357997609,0.0266788357997609
"100 genes",47.8486997635934,1.26678548774608e-08,6.33392743873038e-08
"1000 genes",47.8486997635934,1.26678548774609e-08,6.33392743873038e-08
"5000 genes",47.4911347517731,1.49315402944072e-08,6.33392743873038e-08
"10000 genes",49.636524822695,4.79949775469302e-08,9.59899550938605e-08
