num_genes	AUC	precision	recall	f1-score	support
10	0.45	0.8264462809917354	0.9090909090909091	0.8658008658008658	11.0
100	1.0	0.8264462809917354	0.9090909090909091	0.8658008658008658	11.0
1000	1.0	1.0	1.0	1.0	11.0
5000	1.0	1.0	1.0	1.0	11.0
10000	1.0	1.0	1.0	1.0	11.0
