Symbol	SRR2182228	SRR2182229	SRR2182230	SRR2182231	SRR2182232	SRR2182233	SRR2182234	SRR2182235	SRR2182285	SRR2182286	SRR2182287	SRR2182288	SRR2182289	SRR2182290	SRR2182291	SRR2182292	SRR2182293	SRR2182294	SRR2182295	SRR2182296	SRR2182297	SRR2182298	SRR2182299	SRR2182300	SRR2182301	SRR2182302	SRR2182303	SRR2182304	SRR2182305	SRR2182306	SRR2182307	SRR2182308	SRR2182309	SRR2182310	SRR2182311	SRR2182312	SRR2182313	SRR2182314	SRR2182315	SRR2182316	SRR2182317	SRR2182318	SRR2182319	SRR2182320	SRR2182321	SRR2182322	SRR2182323	SRR2182324	SRR2182325	SRR2182326	SRR2182327	SRR2182328	SRR2182329	SRR2182330	SRR2182331
Arhgdia	12406	14200	15955	15691	18718	18806	21690	18463	15997	7744	10414	11475	5931	23301	8422	10792	9700	7365	17645	7837	13249	27342	7892	12284	17099	8000	11098	22231	12357	24689	7656	17899	9523	7511	19207	14683	8048	7872	14462	25555	11868	23672	12285	15069	9086	33502	5681	35142	8575	4275	8740	11145	7034	32247	5124
Prkcz	9952	8263	7992	8055	8056	9941	10913	6118	15946	7024	14542	11616	5755	25372	9576	11294	7706	5346	18428	10716	17279	32219	10265	15895	20549	10213	15054	27347	14131	31067	10922	15342	8296	6783	18556	14118	7481	7074	13187	22840	10962	22895	10642	12160	7050	29428	4870	20715	6548	3658	7457	8209	5191	29060	4238
Wdr13	13963	11499	10623	11971	12246	13356	14678	8763	11606	4587	10661	8407	4085	21428	8188	9138	6685	3764	15943	9782	14337	26579	8374	14350	16213	9379	12680	24718	12178	26142	8810	17086	8184	6496	16043	12761	6346	6971	11706	22844	9497	21003	10673	15709	8515	38778	6202	13370	8474	5660	10149	12480	6623	38488	5542
Fn1	10989	8514	11126	13428	48727	15226	21817	12545	2439	1245	2379	1319	914	3351	2021	2011	1975	683	2882	1359	2096	3363	1215	2114	2076	2062	1933	3159	1897	4070	1312	2445	1825	1079	2999	2194	1569	1928	1836	3834	1959	2737	1598	3288	2371	7971	1423	6050	5319	1329	2183	4165	4687	11821	1313
Atp6v1e1	12287	10593	8670	11574	10432	13108	13858	11563	13729	7890	12112	9787	4895	22631	10380	11506	8128	9377	18791	8518	12566	28516	8796	11036	13825	7642	10507	18980	10509	24524	8336	18314	9136	6596	16613	12356	6043	7551	11186	19184	8587	19900	11062	16229	11999	41014	8262	29192	8207	5358	12612	14556	7409	37541	7431
Rpl19	12145	12920	14253	16178	20167	18936	21563	15263	14818	8002	9405	9429	5353	20403	7093	9302	8692	11527	15983	7508	12237	27682	7805	10908	16809	7501	11082	19982	12124	23450	7512	14013	7167	5841	15700	10077	5825	6025	11701	20123	8466	17222	9963	11926	7533	25496	5325	44521	6943	3600	8126	9235	5680	26107	4786
Cttnbp2	10533	12428	7604	8571	10227	12016	10973	7275	6185	2272	9278	6318	2039	13954	5835	5373	3516	1075	10709	8265	13411	20192	9357	13857	12803	7951	13364	20482	9932	24361	11182	11002	6113	4662	11992	9609	5053	4411	9492	18499	7267	12619	7215	13670	7619	36146	6479	5443	7030	5749	9711	10880	5935	43392	6129
Rpl9	12657	11344	12912	15130	18341	17072	19872	12242	16387	9147	10372	10845	5985	21892	7990	10133	9591	10868	17796	8968	15197	29394	8728	12879	19332	8664	13066	24828	14630	25673	8984	15512	7930	6316	16905	11060	6583	6965	12602	22795	9228	18867	10242	12670	8210	27152	5406	41121	7567	3707	8447	10115	5759	28788	4764
Fam234b	10642	10192	8756	11279	8820	11749	12487	9135	14516	4893	11767	11841	6485	23503	8420	11637	9816	4724	18196	8994	14379	23697	7627	13063	18606	8640	11436	25376	12714	24971	8774	16690	9568	6220	16600	14404	7691	7041	11733	24985	10303	21249	10007	19843	11282	37853	5333	14540	8276	4822	10423	14305	7715	39135	6060
Tnik	22270	16735	16211	15280	15742	17331	21517	11976	11659	3903	13420	9070	4505	24351	9824	10119	7010	3187	21468	8795	13839	21546	10443	13431	14725	8406	14179	22574	11138	24146	9381	16991	7701	6136	16919	11800	6227	6314	13325	21380	9240	19742	10753	16984	8667	35727	7247	5754	8082	5226	11168	12472	6562	38778	5537
